20050209_04_MyD88_PIC_C-20.CEL	Myd88-null_Poly-IC_in-vitro_0020___BMDM_Mouse
20050209_05_MyD88_PIC_C-60.CEL	Myd88-null_Poly-IC_in-vitro_0060___BMDM_Mouse
20050209_06_MyD88_PIC_C-120.CEL	Myd88-null_Poly-IC_in-vitro_0120___BMDM_Mouse
20050210_01_CPG_A-20.CEL	Bl6_CpG_in-vitro_0020___BMDM_Mouse
20050210_02_MyD88_LPS_A-20.CEL	Myd88-null_LPS_in-vitro_0020___BMDM_Mouse
20050210_03_MyD88_LPS_A-120.CEL	Myd88-null_LPS_in-vitro_0120___BMDM_Mouse
20050210_04_MyD88_PAM3_A-20.CEL	Myd88-null_PAM3_in-vitro_0020___BMDM_Mouse
20050210_05_MyD88_PAM3_A-60.CEL	Myd88-null_PAM3_in-vitro_0060___BMDM_Mouse
20050210_06_MyD88_PAM3_A-120.CEL	Myd88-null_PAM3_in-vitro_0120___BMDM_Mouse
20050223_09_CPG_A-120.CEL	Bl6_CpG_in-vitro_0120___BMDM_Mouse
20050223_10_CPG_A-80.CEL	Bl6_CpG_in-vitro_0080___BMDM_Mouse
20050223_11_CPG_A-60.CEL	Bl6_CpG_in-vitro_0060___BMDM_Mouse
20050224_06_CPG_A-40.CEL	Bl6_CpG_in-vitro_0040___BMDM_Mouse
20050224_08_MyD88_PIC_C-0.CEL	Myd88-null_Unstimulated_in-vitro_0000___BMDM_Mouse
20050309_05_D4_T091317_1um_2h_PAM3_300ng-ml.CEL	Bl6_D4+PAM3_in-vitro_0120_in-vitro_0120_BMDM_Mouse
20050309_06_D4_T091317_1um_2h_PolyIC_6ug-ml.CEL	Bl6_D4+Poly-IC_in-vitro_0120_in-vitro_0120_BMDM_Mouse
20050310_03_C57_A-240.CEL	Bl6_LPS_in-vitro_0240___BMDM_Mouse
20050310_04_ATF3--_A-0.CEL	ATF3-null_Unstimulated_in-vitro_0000___BMDM_Mouse
20050310_05_ATF3--_A-60.CEL	ATF3-null_LPS_in-vitro_0060___BMDM_Mouse
20050310_06_ATF3--_A-120.CEL	ATF3-null_LPS_in-vitro_0120___BMDM_Mouse
20050310_07_ATF3--_A-240.CEL	ATF3-null_LPS_in-vitro_0240___BMDM_Mouse
20050317_01_CPG_C-80.CEL	Bl6_CpG_in-vitro_0080___BMDM_Mouse
20050317_02_CPG_C-60.CEL	Bl6_CpG_in-vitro_0060___BMDM_Mouse
20050317_03_CPG_C-40.CEL	Bl6_CpG_in-vitro_0040___BMDM_Mouse
20050317_04_CPG_C-20.CEL	Bl6_CpG_in-vitro_0020___BMDM_Mouse
20050317_06_CPG_B-120.CEL	Bl6_CpG_in-vitro_0120___BMDM_Mouse
20050324_07_MyD88_LPS_B-60.CEL	Myd88-null_LPS_in-vitro_0060___BMDM_Mouse
20050329_03_Tri-DAP_60_min.CEL	Bl6_Tri-DAP_in-vitro_0060___BMDM_Mouse
20050329_04_MDP_60_min.CEL	Bl6_MDP_in-vitro_0060___BMDM_Mouse
20050329_05_LPS_60_min.CEL	Bl6_LPS_in-vitro_0060___BMDM_Mouse
20050329_06_LPS_Tri-DAP_60_min.CEL	Bl6_LPS+Tri-DAP_in-vitro_0060_in-vitro_0060_BMDM_Mouse
20050329_07_LPS_MDP_60_min.CEL	Bl6_LPS+MDP_in-vitro_0060_in-vitro_0060_BMDM_Mouse
20050329_08_PolyIC_60_min.CEL	Bl6_Poly-IC_in-vitro_0060___BMDM_Mouse
20050330_01_PAM_PIC_A-0.CEL	Bl6_Unstimulated_in-vitro_0000___BMDM_Mouse
20050330_02_PAM_PIC_A-20.CEL	Bl6_PAM3+Poly-IC_in-vitro_0020_in-vitro_0020_BMDM_Mouse
20050330_03_PAM_PIC_A-120.CEL	Bl6_PAM3+Poly-IC_in-vitro_0120_in-vitro_0120_BMDM_Mouse
20050330_04_PolyIC_Tri_DAP_60_min.CEL	Bl6_Poly-IC+Tri-DAP_in-vitro_0060_in-vitro_0060_BMDM_Mouse
20050330_05_PolyIC_MDP_60_min.CEL	Bl6_Poly-IC+MDP_in-vitro_0060_in-vitro_0060_BMDM_Mouse
20050331_07_PAM3_PIC_A-60.CEL	Bl6_PAM3+Poly-IC_in-vitro_0060_in-vitro_0060_BMDM_Mouse
20050331_08_ATF3--_B-0.CEL	ATF3-null_Unstimulated_in-vitro_0000___BMDM_Mouse
20050411_04_ATF3--_B-60.CEL	ATF3-null_LPS_in-vitro_0060___BMDM_Mouse
20050411_05_ATF3--_B-120.CEL	ATF3-null_LPS_in-vitro_0120___BMDM_Mouse
20050504_09_ATF3_LPS_E-0.CEL	ATF3-null_Unstimulated_in-vitro_0000___BMDM_Mouse
20050504_10_ATF3_LPS_E-60.CEL	ATF3-null_LPS_in-vitro_0060___BMDM_Mouse
